"mmcode","make","variant","regyear"
"2080405","ALFA ROMEO","155 2.5 V6","1996"
"2080405","ALFA ROMEO","155 2.5 V6","1997"
"2080405","ALFA ROMEO","155 2.5 V6","1998"
"2080600","ALFA ROMEO","155 2.0 Q4 TURBO","1994"
"2080600","ALFA ROMEO","155 2.0 Q4 TURBO","1994"
"2081100","ALFA ROMEO","156 1.9 JTD VELOCE","2004"
"2081100","ALFA ROMEO","156 1.9 JTD VELOCE","2004"
"2081100","ALFA ROMEO","156 1.9 JTD VELOCE","2006"
"2081200","ALFA ROMEO","156 2.0 TWIN SPARK","1998"
"2081200","ALFA ROMEO","156 2.0 TWIN SPARK","1998"
"2081200","ALFA ROMEO","156 2.0 TWIN SPARK","1999"
"2081200","ALFA ROMEO","156 2.0 TWIN SPARK","2000"
"2081200","ALFA ROMEO","156 2.0 TWIN SPARK","2001"
"2081200","ALFA ROMEO","156 2.0 TWIN SPARK","2002"
"2081205","ALFA ROMEO","156 2.0 TS","2002"
"2081205","ALFA ROMEO","156 2.0 TS","2003"
"2081205","ALFA ROMEO","156 2.0 TS","2004"
"2081210","ALFA ROMEO","156 2.0 TWIN SPARK VELOCE","2004"
"2081210","ALFA ROMEO","156 2.0 TWIN SPARK VELOCE","2005"
"2081210","ALFA ROMEO","156 2.0 TWIN SPARK VELOCE","2006"
"2081230","ALFA ROMEO","156 2.0 TWIN SPARK LUSSO","2004"
"2081230","ALFA ROMEO","156 2.0 TWIN SPARK LUSSO","2005"
"2081230","ALFA ROMEO","156 2.0 TWIN SPARK LUSSO","2006"
"2081280","ALFA ROMEO","156 2.0 Selespeed","2000"
"2081280","ALFA ROMEO","156 2.0 Selespeed","2001"
"2081280","ALFA ROMEO","156 2.0 Selespeed","2002"
"2081285","ALFA ROMEO","156 2.0 SELESPEED","2002"
"2081285","ALFA ROMEO","156 2.0 SELESPEED","2003"
"2081285","ALFA ROMEO","156 2.0 SELESPEED","2004"
"2081290","ALFA ROMEO","156 2.0 SELESPEED","2004"
"2081290","ALFA ROMEO","156 2.0 SELESPEED","2005"
"2081290","ALFA ROMEO","156 2.0 SELESPEED","2006"
"2081300","ALFA ROMEO","156 2.0 SPORTWAGON VELOCE","2004"
"2081300","ALFA ROMEO","156 2.0 SPORTWAGON VELOCE","2005"
"2081300","ALFA ROMEO","156 2.0 SPORTWAGON VELOCE","2006"
"2081320","ALFA ROMEO","156 2.4 JTD","2003"
"2081320","ALFA ROMEO","156 2.4 JTD","2004"
"2081330","ALFA ROMEO","156 2.4 JTD LUSSO","2004"
"2081330","ALFA ROMEO","156 2.4 JTD LUSSO","2005"
"2081330","ALFA ROMEO","156 2.4 JTD LUSSO","2006"
"2081400","ALFA ROMEO","156 2.5 V6","1998"
"2081400","ALFA ROMEO","156 2.5 V6","1999"
"2081400","ALFA ROMEO","156 2.5 V6","2000"
"2081400","ALFA ROMEO","156 2.5 V6","2001"
"2081400","ALFA ROMEO","156 2.5 V6","2002"
"2081405","ALFA ROMEO","156 2.5 V6","2002"
"2081405","ALFA ROMEO","156 2.5 V6","2003"
"2081405","ALFA ROMEO","156 2.5 V6","2004"
"2081410","ALFA ROMEO","156 2.5 V6","2004"
"2081410","ALFA ROMEO","156 2.5 V6","2005"
"2081410","ALFA ROMEO","156 2.5 V6","2006"
"2081450","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2000"
"2081450","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2001"
"2081450","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2002"
"2081455","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2002"
"2081455","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2003"
"2081455","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2004"
"2081460","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2004"
"2081460","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2005"
"2081460","ALFA ROMEO","156 2.5 V6 SPORTWAGON","2006"
"2081500","ALFA ROMEO","156 3.2 V6 GTA","2003"
"2081500","ALFA ROMEO","156 3.2 V6 GTA","2004"
"2081505","ALFA ROMEO","156 3.2 V6 GTA","2004"
"2081505","ALFA ROMEO","156 3.2 V6 GTA","2005"
"2081505","ALFA ROMEO","156 3.2 V6 GTA","2006"
